Modèle,Accuracy,Precision,Recall,F1-score,Score_Global
Naive Bayes,0.8351648351648352,0.8414835164835164,0.8351648351648352,0.8331668331668332,0.836245004995005
SVM,0.8241758241758241,0.8323410335794236,0.8241758241758241,0.821556794744481,0.8255623691688883
KNN,0.8131868131868132,0.8186813186813187,0.8131868131868132,0.8109224109224108,0.813994338994339
Gradient Boosting,0.8021978021978022,0.8021116138763198,0.8021978021978022,0.8017636022514072,0.8020677051308329
Régression Logistique,0.7912087912087912,0.795879120879121,0.7912087912087912,0.7886779886779887,0.791743672993673
Arbre de Décision,0.7912087912087912,0.795879120879121,0.7912087912087912,0.7886779886779887,0.791743672993673
Random Forest,0.7802197802197802,0.7862983249980154,0.7802197802197802,0.7769459934306012,0.7809209697170443
MLP,0.7802197802197802,0.7829836829836829,0.7802197802197802,0.7781065088757396,0.7803824380747457
